,index,genre,title,url,artist,weekly_views,all_views,artist_url
0,1,Alternative Rock,Lil Peep & XXXTENTACION - Falling Down,https://soundcloud.com/lil_peep/lil-peep-ft-xxxtentacion-falling-down,☆LiL PEEP☆,98414.0,128627075.0,https://soundcloud.com/lil_peep
1,2,Alternative Rock,Cloud 9,https://soundcloud.com/beachbunnymusic/cloud-9,Beach Bunny,77887.0,1988184.0,https://soundcloud.com/beachbunnymusic
2,3,Alternative Rock,Riptide,https://soundcloud.com/vancejoy/02-riptide,Vance  Joy,46602.0,50170524.0,https://soundcloud.com/vancejoy
3,4,Alternative Rock,"All Time Low - Dear Maria, Count Me In",https://soundcloud.com/hopelessrecords/dear-maria-count-me-in,Hopeless Records,18057.0,9802645.0,https://soundcloud.com/hopelessrecords
4,5,Alternative Rock,Brain Stew,https://soundcloud.com/greenday/brain-stew,Green Day,15464.0,2396422.0,https://soundcloud.com/greenday
5,6,Alternative Rock,Mr. Brightside,https://soundcloud.com/tealoversunite/mr-brightside,tealoversunite,10681.0,5616475.0,https://soundcloud.com/tealoversunite
6,7,Alternative Rock,Paramore - Still Into You,https://soundcloud.com/fueled_by_ramen/still-into-you,Fueled By Ramen,9920.0,10741492.0,https://soundcloud.com/fueled_by_ramen
7,8,Alternative Rock,Pierce The Veil - King for a Day ft. Kellin Quinn,https://soundcloud.com/jorgehl-1/pierce-the-veil-king-for-a-day,JorGeHL',9920.0,12323932.0,https://soundcloud.com/jorgehl-1
8,9,Alternative Rock,Way Less Sad,https://soundcloud.com/ajrbrothers/way-less-sad,AJR,8507.0,185207.0,https://soundcloud.com/ajrbrothers
9,10,Alternative Rock,Victorious,https://soundcloud.com/panicatthedisco/panic-at-the-disco-victorious,Panic! At The Disco,8353.0,15021564.0,https://soundcloud.com/panicatthedisco
10,1,Ambient,"Thunderstorm Sounds(Long Recording) Relaxing Rain & Thunder Sounds for Sleep, Insomnia or Study 🌧️",https://soundcloud.com/user-908929543/thunderstorm-soundslong-recording-relaxing-rain-thunder-sounds-for-sleep-insomnia-or-study,Rain Sounds Club,24533.0,3628189.0,https://soundcloud.com/user-908929543
11,2,Ambient,"Relaxing Rain & Loud Thunder (Ambient Calm Field Recording for Sleep, Relaxation Meditation, Yoga)",https://soundcloud.com/rjsfoundsounds/relaxing-rain-and-loud-thunder,R.J. Stefanski [Ambient | Field Recordings],17583.0,14460436.0,https://soundcloud.com/rjsfoundsounds
12,3,Ambient,"Womb Sound Brown Noise (All Night, Loopable, No Fade) [feat. Deep Sleep Baby Noise]",https://soundcloud.com/deepsleepbrownnoise-music/womb-sound-brown-noise-all,Deep Sleep Brown Noise,12800.0,1020034.0,https://soundcloud.com/deepsleepbrownnoise-music
